iter	Passed	Remaining
482	610	652
483	610	651
484	611	649
485	612	647
486	613	646
487	614	644
488	615	643
489	616	641
490	617	639
491	618	638
492	619	636
493	619	634
494	620	633
495	622	632
496	622	630
497	623	628
498	624	626
499	625	625
500	626	624
501	628	623
502	628	621
503	629	619
504	630	618
505	631	616
506	633	616
507	634	614
508	635	613
509	636	611
510	637	609
511	638	608
512	639	607
513	640	605
514	641	604
515	642	602
516	643	601
517	644	599
518	645	598
519	646	596
520	647	595
521	647	593
522	648	591
523	652	592
524	653	590
525	654	589
526	654	587
527	655	586
528	656	584
529	657	583
530	658	581
531	659	580
532	660	578
533	661	576
534	661	575
535	662	573
536	663	571
537	664	570
538	665	568
539	666	567
540	666	565
541	667	564
542	668	562
543	669	561
544	670	559
545	671	558
546	672	556
547	673	555
548	674	553
549	674	552
550	675	550
551	676	549
552	677	547
553	678	546
554	679	544
555	680	543
556	681	541
557	682	540
558	683	538
559	684	537
560	684	535
561	685	534
562	686	532
563	687	531
564	688	530
565	689	528
566	690	527
567	691	525
568	691	524
569	692	522
570	693	521
571	694	519
572	695	518
573	696	516
574	697	515
575	698	514
576	699	512
577	700	511
578	700	509
579	702	508
580	702	506
581	703	505
582	704	503
583	705	502
584	706	500
585	707	499
586	708	498
587	708	496
588	709	495
589	710	493
590	711	492
591	711	490
592	712	489
593	713	488
594	714	486
595	715	485
596	716	483
597	717	482
598	717	480
599	718	479
600	719	477
601	720	476
602	721	474
603	722	473
604	722	471
605	723	470
606	724	469
607	725	467
608	726	466
609	727	465
610	728	463
611	729	462
612	730	460
613	731	459
614	732	458
615	732	456
616	733	455
617	734	454
618	735	452
619	736	451
620	737	450
621	738	448
622	739	447
623	740	446
624	741	444
625	741	443
626	742	441
627	744	440
628	745	439
629	745	438
630	746	436
631	747	435
632	748	433
633	749	432
634	751	431
635	752	430
636	753	429
637	754	427
638	755	426
639	755	425
640	757	424
641	757	422
642	758	421
643	759	420
644	760	418
645	761	417
646	762	416
647	763	414
648	764	413
649	765	412
650	766	410
651	766	409
652	767	407
653	768	406
654	769	405
655	770	403
656	771	402
657	771	401
658	772	399
659	773	398
660	774	397
661	775	396
662	776	394
663	777	393
664	778	392
665	779	390
666	780	389
667	781	388
668	782	387
669	783	385
670	784	384
671	785	383
672	786	382
673	787	381
674	788	379
675	789	378
676	790	377
677	791	375
678	793	375
679	794	373
680	795	372
681	796	371
682	797	370
683	798	368
684	799	367
685	800	366
686	801	365
687	802	363
688	803	362
689	804	361
690	805	360
691	806	358
692	807	357
693	808	356
694	809	355
695	810	353
696	811	352
697	812	351
698	813	350
699	814	349
700	815	347
701	816	346
702	817	345
703	818	343
704	819	342
705	820	341
706	820	340
707	821	338
708	822	337
709	823	336
710	824	335
711	825	334
712	827	332
713	828	331
714	829	330
715	830	329
716	831	328
717	832	326
718	833	325
719	834	324
720	835	323
721	835	321
722	837	320
723	838	319
724	839	318
725	839	316
726	840	315
727	841	314
728	842	313
729	843	312
730	844	310
731	845	309
732	846	308
733	846	306
734	847	305
735	848	304
736	850	303
737	850	302
738	851	300
739	852	299
740	854	298
741	854	297
742	856	296
743	856	294
744	857	293
745	858	292
746	859	291
747	860	289
748	861	288
749	862	287
750	863	286
751	864	285
752	865	283
753	866	282
754	867	281
755	868	280
756	869	279
757	870	277
758	871	276
759	872	275
760	873	274
761	874	273
762	875	272
763	876	270
764	877	269
765	878	268
766	880	267
767	881	266
768	882	265
769	883	263
770	885	262
771	886	261
772	887	260
773	888	259
774	889	258
775	890	256
776	891	255
777	892	254
778	893	253
779	894	252
780	894	250
781	895	249
782	896	248
783	897	247
784	899	246
785	900	245
786	901	243
787	902	242
788	903	241
789	904	240
790	905	239
791	906	238
792	907	236
793	908	235
794	908	234
795	909	233
796	910	231
797	911	230
798	912	229
799	913	228
800	914	227
801	915	225
802	916	224
803	917	223
804	918	222
805	919	221
806	919	220
807	920	218
808	921	217
809	922	216
810	923	215
811	924	214
812	925	212
813	925	211
814	926	210
815	927	209
816	928	207
817	929	206
818	930	205
819	931	204
820	931	203
821	932	201
822	933	200
823	934	199
824	935	198
825	936	197
826	937	196
827	938	194
828	939	193
829	940	192
830	941	191
831	942	190
832	943	189
833	944	187
834	945	186
835	946	185
836	946	184
837	947	183
838	949	182
839	950	180
840	950	179
841	951	178
842	952	177
843	953	176
844	955	175
845	956	174
846	957	172
847	958	171
848	959	170
849	960	169
850	961	168
851	962	167
852	963	166
853	964	164
854	965	163
855	966	162
856	967	161
857	968	160
858	969	159
859	970	157
860	970	156
861	971	155
862	972	154
863	974	153
864	974	152
865	975	150
866	976	149
867	977	148
868	978	147
869	979	146
870	980	145
871	981	144
872	981	142
873	982	141
874	983	140
875	984	139
876	985	138
877	986	137
878	987	135
879	988	134
880	988	133
881	989	132
882	990	131
883	992	130
884	992	129
885	993	127
886	994	126
887	995	125
888	996	124
889	997	123
890	998	122
891	999	121
892	1000	119
893	1001	118
894	1002	117
895	1004	116
896	1005	115
897	1006	114
898	1006	113
899	1007	111
900	1008	110
901	1009	109
902	1010	108
903	1011	107
904	1012	106
905	1013	105
906	1014	103
907	1015	102
908	1016	101
909	1017	100
910	1018	99
911	1019	98
912	1020	97
913	1021	96
914	1022	94
915	1023	93
916	1024	92
917	1025	91
918	1026	90
919	1026	89
920	1028	88
921	1029	87
922	1030	85
923	1030	84
924	1031	83
925	1032	82
926	1033	81
927	1035	80
928	1036	79
929	1037	78
930	1037	76
931	1038	75
932	1039	74
933	1041	73
934	1042	72
935	1043	71
936	1044	70
937	1046	69
938	1047	68
939	1048	66
940	1048	65
941	1049	64
942	1051	63
943	1052	62
944	1053	61
945	1054	60
946	1055	59
947	1056	57
948	1057	56
949	1058	55
950	1059	54
951	1060	53
952	1061	52
953	1062	51
954	1063	50
955	1064	48
956	1064	47
957	1066	46
958	1067	45
959	1067	44
960	1068	43
961	1071	42
962	1072	41
963	1073	40
964	1074	38
965	1075	37
966	1076	36
967	1078	35
968	1079	34
969	1080	33
970	1080	32
971	1081	31
972	1082	30
973	1084	28
974	1085	27
975	1086	26
976	1087	25
977	1088	24
978	1090	23
979	1091	22
980	1092	21
981	1093	20
982	1095	18
983	1096	17
984	1097	16
985	1098	15
986	1099	14
987	1100	13
988	1101	12
989	1102	11
990	1103	10
991	1104	8
992	1105	7
993	1106	6
994	1107	5
995	1109	4
996	1110	3
997	1110	2
998	1111	1
999	1113	0
